% ARFF generated from csvs: anythinggoes,civilwar,dustnbones,estranged,itssoeasy,mrbrownstone,mymichelle,nighttrain,novemberrain,outtagetme,paradisecity,patience,rocketqueen,sinceidonthaveyou,sweetchildomine,thinkaboutyou,usedtoloveher,welcometothejungle,youcouldbemine,yourcrazy
@RELATION data
@ATTRIBUTE first {G,A7,G#,A,F#,F,E7,D,B,C,C#,B7,Em,D/F#,A5,E5,B/A,C/A,D/A,Bm,E,Gm7,Bb,Eb,Gm,Am,Bb5,G5,F#5,B5,D5,C#5,F5,C5,A/C#,C7-/13,F#m,C#m,G7,Db,Bb/C,F9,G#m,Cm,C9,Bm7,Bm11,D9,G6,F#7,Bm11/C#,Bm11/D,E7/9,A#,D7,D#,F#m7}
@ATTRIBUTE second {G,A7,G#,A,F#,F,E7,D,B,C,C#,B7,Em,D/F#,A5,E5,B/A,C/A,D/A,Bm,E,Gm7,Bb,Eb,Gm,Am,Bb5,G5,F#5,B5,D5,C#5,F5,C5,A/C#,C7-/13,F#m,C#m,G7,Db,Bb/C,F9,G#m,Cm,C9,Bm7,Bm11,D9,G6,F#7,Bm11/C#,Bm11/D,E7/9,A#,D7,D#,F#m7}
@ATTRIBUTE third {G,A7,G#,A,F#,F,E7,D,B,C,C#,B7,Em,D/F#,A5,E5,B/A,C/A,D/A,Bm,E,Gm7,Bb,Eb,Gm,Am,Bb5,G5,F#5,B5,D5,C#5,F5,C5,A/C#,C7-/13,F#m,C#m,G7,Db,Bb/C,F9,G#m,Cm,C9,Bm7,Bm11,D9,G6,F#7,Bm11/C#,Bm11/D,E7/9,A#,D7,D#,F#m7}
@ATTRIBUTE fourth {G,A7,G#,A,F#,F,E7,D,B,C,C#,B7,Em,D/F#,A5,E5,B/A,C/A,D/A,Bm,E,Gm7,Bb,Eb,Gm,Am,Bb5,G5,F#5,B5,D5,C#5,F5,C5,A/C#,C7-/13,F#m,C#m,G7,Db,Bb/C,F9,G#m,Cm,C9,Bm7,Bm11,D9,G6,F#7,Bm11/C#,Bm11/D,E7/9,A#,D7,D#,F#m7}
@ATTRIBUTE class {G,A7,G#,A,F#,F,E7,D,B,C,C#,B7,Em,D/F#,A5,E5,B/A,C/A,D/A,Bm,E,Gm7,Bb,Eb,Gm,Am,Bb5,G5,F#5,B5,D5,C#5,F5,C5,A/C#,C7-/13,F#m,C#m,G7,Db,Bb/C,F9,G#m,Cm,C9,Bm7,Bm11,D9,G6,F#7,Bm11/C#,Bm11/D,E7/9,A#,D7,D#,F#m7}

@DATA
E,F#5,G5,B5,A5
F#5,G5,B5,A5,F#5
G5,B5,A5,F#5,G5
B5,A5,F#5,G5,F#5
A5,F#5,G5,F#5,G5
F#5,G5,F#5,G5,F#5
G5,F#5,G5,F#5,G5
F#5,G5,F#5,G5,B5
G5,F#5,G5,B5,A5
F#5,G5,B5,A5,F#5
G5,B5,A5,F#5,G5
B5,A5,F#5,G5,B5
A5,F#5,G5,B5,A5
F#5,G5,B5,A5,Bb5
G5,B5,A5,Bb5,G5
B5,A5,Bb5,G5,E
E5,D5,E5,D5,A5
D5,E5,D5,A5,B5
E5,D5,A5,B5,G5
D5,A5,B5,G5,E5
A5,B5,G5,E5,A5
B5,G5,E5,A5,D5
G5,E5,A5,D5,C#5
E5,A5,D5,C#5,B5
A5,D5,C#5,B5,G5
D5,C#5,B5,G5,E5
C#5,B5,G5,E5,E5
B5,G5,E5,E5,A5
G5,E5,E5,A5,D5
E5,E5,A5,D5,C#5
E5,A5,D5,C#5,B5
A5,D5,C#5,B5,G5
D5,C#5,B5,G5,E5
C#5,B5,G5,E5,E5
B5,G5,E5,E5,G5
G5,E5,E5,G5,A5
E5,E5,G5,A5,G5
E5,G5,A5,G5,E5
G5,A5,G5,E5,G5
A5,G5,E5,G5,A5
G5,E5,G5,A5,G5
E5,G5,A5,G5,E5
G5,A5,G5,E5,G5
A5,G5,E5,G5,A5
G5,E5,G5,A5,G5
E5,G5,A5,G5,E5
G5,A5,G5,E5,G5
A5,G5,E5,G5,A5
G5,E5,G5,A5,G5
E5,G5,A5,G5,E5
G5,A5,G5,E5,G5
A5,G5,E5,G5,F5
G5,E5,G5,F5,G5
E5,G5,F5,G5,C5
G5,F5,G5,C5,Bb
F5,G5,C5,Bb,C5
G5,C5,Bb,C5,D5
C5,Bb,C5,D5,C5
Bb,C5,D5,C5,D5
C5,D5,C5,D5,E5
D5,C5,D5,E5,E5
C5,D5,E5,E5,D5
D5,E5,E5,D5,C#5
E5,E5,D5,C#5,B5
E5,D5,C#5,B5,E5
D5,C#5,B5,E5,B5
C#5,B5,E5,B5,A5
B5,E5,B5,A5,B5
E5,B5,A5,B5,A5
B5,A5,B5,A5,E5
A5,B5,A5,E5,B5
B5,A5,E5,B5,A5
A5,E5,B5,A5,B5
E5,B5,A5,B5,A5
B5,A5,B5,A5,G5
A5,B5,A5,G5,F5
B5,A5,G5,F5,G5
A5,G5,F5,G5,C5
G5,F5,G5,C5,Bb
F5,G5,C5,Bb,C5
G5,C5,Bb,C5,D5
C5,Bb,C5,D5,C5
Bb,C5,D5,C5,D5
C5,D5,C5,D5,D5
D5,C5,D5,D5,E5
C5,D5,D5,E5,E5
D5,D5,E5,E5,D5
D5,E5,E5,D5,C#5
E5,E5,D5,C#5,B5
E5,D5,C#5,B5,E5
D5,C#5,B5,E5,F#5
C#5,B5,E5,F#5,E5
B5,E5,F#5,E5,F#5
E5,F#5,E5,F#5,E5
F#5,E5,F#5,E5,F#5
E5,F#5,E5,F#5,E5
F#5,E5,F#5,E5,F#5
E5,F#5,E5,F#5,G5
F#5,E5,F#5,G5,C5
E5,F#5,G5,C5,D5
F#5,G5,C5,D5,D5
G5,C5,D5,D5,C#5
C5,D5,D5,C#5,B5
D5,D5,C#5,B5,D5
D5,C#5,B5,D5,G5
C#5,B5,D5,G5,E5
B5,D5,G5,E5,A5
D5,G5,E5,A5,D5
G5,E5,A5,D5,C#5
E5,A5,D5,C#5,B5
A5,D5,C#5,B5,G5
D5,C#5,B5,G5,E5
C#5,B5,G5,E5,E5
B5,G5,E5,E5,A5
G5,E5,E5,A5,D5
E5,E5,A5,D5,C#5
E5,A5,D5,C#5,B5
A5,D5,C#5,B5,G5
D5,C#5,B5,G5,E5
C#5,B5,G5,E5,E5
B5,G5,E5,E5,G5
G5,E5,E5,G5,A5
E5,E5,G5,A5,G5
E5,G5,A5,G5,E5
G5,A5,G5,E5,G5
A5,G5,E5,G5,A5
G5,E5,G5,A5,G5
E5,G5,A5,G5,E5
G5,A5,G5,E5,G5
A5,G5,E5,G5,F5
G5,E5,G5,F5,G5
E5,G5,F5,G5,C5
G5,F5,G5,C5,Bb
F5,G5,C5,Bb,C5
G5,C5,Bb,C5,D5
C5,Bb,C5,D5,C5
Bb,C5,D5,C5,D5
C5,D5,C5,D5,E5
D5,C5,D5,E5,E5
C5,D5,E5,E5,D5
D5,E5,E5,D5,C#5
E5,E5,D5,C#5,B5
E5,D5,C#5,B5,E5
D5,C#5,B5,E5,B5
C#5,B5,E5,B5,A5
B5,E5,B5,A5,B5
E5,B5,A5,B5,A5
B5,A5,B5,A5,E5
A5,B5,A5,E5,B5
B5,A5,E5,B5,A5
A5,E5,B5,A5,B5
E5,B5,A5,B5,A5
B5,A5,B5,A5,G5
A5,B5,A5,G5,F5
B5,A5,G5,F5,G5
A5,G5,F5,G5,C5
G5,F5,G5,C5,Bb
F5,G5,C5,Bb,C5
G5,C5,Bb,C5,D5
C5,Bb,C5,D5,C5
Bb,C5,D5,C5,D5
C5,D5,C5,D5,D5
D5,C5,D5,D5,E5
C5,D5,D5,E5,E5
D5,D5,E5,E5,D5
D5,E5,E5,D5,C#5
E5,E5,D5,C#5,B5
E5,D5,C#5,B5,E5
D5,C#5,B5,E5,A5
C#5,B5,E5,A5,D5
B5,E5,A5,D5,C#5
E5,A5,D5,C#5,B5
A5,D5,C#5,B5,G5
D5,C#5,B5,G5,E5
C#5,B5,G5,E5,E5
B5,G5,E5,E5,A5
G5,E5,E5,A5,D5
E5,E5,A5,D5,C#5
E5,A5,D5,C#5,B5
A5,D5,C#5,B5,G5
D5,C#5,B5,G5,E5
C#5,B5,G5,E5,E5
B5,G5,E5,E5,A5
G5,E5,E5,A5,E5
A/C#,C7-/13,B,F#m,A/C#
C7-/13,B,F#m,A/C#,C7-/13
B,F#m,A/C#,C7-/13,B
F#m,A/C#,C7-/13,B,F#m
A/C#,C7-/13,B,F#m,A/C#
C7-/13,B,F#m,A/C#,C7-/13
B,F#m,A/C#,C7-/13,B
F#m,A/C#,C7-/13,B,F#m
A/C#,C7-/13,B,F#m,A/C#
C7-/13,B,F#m,A/C#,C7-/13
B,F#m,A/C#,C7-/13,B
F#m,A/C#,C7-/13,B,F#m
A/C#,C7-/13,B,F#m,C#
C7-/13,B,F#m,C#,C
B,F#m,C#,C,B
F#m,C#,C,B,F#m
C#,C,B,F#m,A
C,B,F#m,A,F#m
B,F#m,A,F#m,C#
F#m,A,F#m,C#,C
A,F#m,C#,C,B
F#m,C#,C,B,F#m
C#,C,B,F#m,A
C,B,F#m,A,F#m
B,F#m,A,F#m,C#
F#m,A,F#m,C#,C
A,F#m,C#,C,B
F#m,C#,C,B,F#m
C#,C,B,F#m,A
C,B,F#m,A,F#m
B,F#m,A,F#m,C#
F#m,A,F#m,C#,C
A,F#m,C#,C,B
F#m,C#,C,B,F#m
C#,C,B,F#m,C#
C,B,F#m,C#,C
B,F#m,C#,C,B
F#m,C#,C,B,F#m
C#,C,B,F#m,A
C,B,F#m,A,F#m
B,F#m,A,F#m,C#
F#m,A,F#m,C#,C
A,F#m,C#,C,B
F#m,C#,C,B,C#
C#,C,B,C#,D
C,B,C#,D,C#
B,C#,D,C#,C#
C#,D,C#,C#,C
D,C#,C#,C,B
C#,C#,C,B,F#m
C#,C,B,F#m,A
C,B,F#m,A,F#m
B,F#m,A,F#m,C#
F#m,A,F#m,C#,C
A,F#m,C#,C,B
F#m,C#,C,B,A
C#,C,B,A,F#m
C,B,A,F#m,D
B,A,F#m,D,E
A,F#m,D,E,Bm
F#m,D,E,Bm,C#
D,E,Bm,C#,E
E,Bm,C#,E,A
Bm,C#,E,A,D
C#,E,A,D,C#m
E,A,D,C#m,Bm
A,D,C#m,Bm,A
D,C#m,Bm,A,C#
C#m,Bm,A,C#,C
Bm,A,C#,C,B
A,C#,C,B,F#m
C#,C,B,F#m,A
C,B,F#m,A,F#m
B,F#m,A,F#m,C#
F#m,A,F#m,C#,C
A,F#m,C#,C,B
F#m,C#,C,B,F#m
C#,C,B,F#m,C#
C,B,F#m,C#,C
B,F#m,C#,C,B
F#m,C#,C,B,F#m
C#,C,B,F#m,A
C,B,F#m,A,F#m
B,F#m,A,F#m,C#
F#m,A,F#m,C#,C
A,F#m,C#,C,B
F#m,C#,C,B,C#
C#,C,B,C#,D
C,B,C#,D,C#
B,C#,D,C#,C#
C#,D,C#,C#,C
D,C#,C#,C,B
C#,C#,C,B,F#m
C#,C,B,F#m,A
C,B,F#m,A,F#m
B,F#m,A,F#m,C#
F#m,A,F#m,C#,C
A,F#m,C#,C,B
F#m,C#,C,B,A
C#,C,B,A,F#m
C,B,A,F#m,D
B,A,F#m,D,E
A,F#m,D,E,Bm
F#m,D,E,Bm,C#
D,E,Bm,C#,E
E,Bm,C#,E,A
Bm,C#,E,A,D
C#,E,A,D,C#m
E,A,D,C#m,Bm
A,D,C#m,Bm,A
D,C#m,Bm,A,D
C#m,Bm,A,D,E
Bm,A,D,E,Bm
A,D,E,Bm,C#m
D,E,Bm,C#m,E
E,Bm,C#m,E,F#m
Bm,C#m,E,F#m,D
C#m,E,F#m,D,C#m
E,F#m,D,C#m,Bm
F#m,D,C#m,Bm,A
D,C#m,Bm,A,E
C#m,Bm,A,E,D
Bm,A,E,D,A
A,E,D,A,B
E,D,A,B,G
D,A,B,G,E
A,B,G,E,E
B,G,E,E,D
G,E,E,D,A
E,E,D,A,B
E,D,A,B,E
D,A,B,E,D
A,B,E,D,A
B,E,D,A,B
E,D,A,B,G
D,A,B,G,E
A,B,G,E,E
B,G,E,E,D
G,E,E,D,A
E,E,D,A,B
E,D,A,B,C#
D,A,B,C#,C
A,B,C#,C,B
B,C#,C,B,F#m
C#,C,B,F#m,A
C,B,F#m,A,F#m
B,F#m,A,F#m,C#
F#m,A,F#m,C#,C
A,F#m,C#,C,B
F#m,C#,C,B,F#m
C#,C,B,F#m,Bm
C,B,F#m,Bm,D
B,F#m,Bm,D,Bm
F#m,Bm,D,Bm,G
Bm,D,Bm,G,A
D,Bm,G,A,Bm
Bm,G,A,Bm,D
G,A,Bm,D,Bm
A,Bm,D,Bm,G
Bm,D,Bm,G,A
D,Bm,G,A,Bm
Bm,G,A,Bm,D
G,A,Bm,D,Bm
A,Bm,D,Bm,G
Bm,D,Bm,G,A
D,Bm,G,A,Bm
Bm,G,A,Bm,D
G,A,Bm,D,Bm
A,Bm,D,Bm,G
Bm,D,Bm,G,A
D,Bm,G,A,C#
Bm,G,A,C#,C
G,A,C#,C,B
A,C#,C,B,F#m
C#,C,B,F#m,A
C,B,F#m,A,F#m
B,F#m,A,F#m,C#
F#m,A,F#m,C#,C
A,F#m,C#,C,B
F#m,C#,C,B,C#
C#,C,B,C#,D
C,B,C#,D,C#
B,C#,D,C#,C#
C#,D,C#,C#,C
D,C#,C#,C,B
C#,C#,C,B,F#m
C#,C,B,F#m,A
C,B,F#m,A,F#m
B,F#m,A,F#m,C#
F#m,A,F#m,C#,C
A,F#m,C#,C,B
F#m,C#,C,B,A
C#,C,B,A,F#m
C,B,A,F#m,D
B,A,F#m,D,E
A,F#m,D,E,Bm
F#m,D,E,Bm,C#
D,E,Bm,C#,E
E,Bm,C#,E,A
Bm,C#,E,A,D
C#,E,A,D,C#m
E,A,D,C#m,Bm
A,D,C#m,Bm,A
D,C#m,Bm,A,D
C#m,Bm,A,D,E
Bm,A,D,E,Bm
A,D,E,Bm,C#
D,E,Bm,C#,E
E,Bm,C#,E,A
Bm,C#,E,A,D
C#,E,A,D,C#m
E,A,D,C#m,Bm
A,D,C#m,Bm,A
D,C#m,Bm,A,A
C#m,Bm,A,A,C
Bm,A,A,C,A
A,A,C,A,C
A,C,A,C,A
C,A,C,A,C
A,C,A,C,A
C,A,C,A,C
A,C,A,C,A
Am,D5,C5,G5,F5
D5,C5,G5,F5,G5
C5,G5,F5,G5,Am
G5,F5,G5,Am,Am
F5,G5,Am,Am,F5
G5,Am,Am,F5,G5
Am,Am,F5,G5,Am
Am,F5,G5,Am,A5
F5,G5,Am,A5,A5
G5,Am,A5,A5,D5
Am,A5,A5,D5,Am
A5,A5,D5,Am,F5
A5,D5,Am,F5,G5
D5,Am,F5,G5,Am
Am,F5,G5,Am,A5
F5,G5,Am,A5,D5
G5,Am,A5,D5,Am
Am,A5,D5,Am,F5
A5,D5,Am,F5,G5
D5,Am,F5,G5,Am
Am,F5,G5,Am,F5
F5,G5,Am,F5,G7
G5,Am,F5,G7,Am
Am,F5,G7,Am,D5
F5,G7,Am,D5,Bm
G7,Am,D5,Bm,F#m
Am,D5,Bm,F#m,Bm
D5,Bm,F#m,Bm,F#m
Bm,F#m,Bm,F#m,G5
F#m,Bm,F#m,G5,G#
Bm,F#m,G5,G#,A5
F#m,G5,G#,A5,D5
G5,G#,A5,D5,F#m
G#,A5,D5,F#m,D5
A5,D5,F#m,D5,F#m
D5,F#m,D5,F#m,D5
F#m,D5,F#m,D5,F#m
D5,F#m,D5,F#m,D5
F#m,D5,F#m,D5,F#m
D5,F#m,D5,F#m,E7
F#m,D5,F#m,E7,F#m
D5,F#m,E7,F#m,E7
F#m,E7,F#m,E7,F#m
E7,F#m,E7,F#m,E7
F#m,E7,F#m,E7,D5
E7,F#m,E7,D5,Am
F#m,E7,D5,Am,F5
E7,D5,Am,F5,G5
D5,Am,F5,G5,Am
Am,F5,G5,Am,C5
F5,G5,Am,C5,Am
G5,Am,C5,Am,F5
Am,C5,Am,F5,G7
C5,Am,F5,G7,Am
Am,F5,G7,Am,Am
F5,G7,Am,Am,F5
G7,Am,Am,F5,G7
Am,Am,F5,G7,Am
Am,F5,G7,Am,Am
F5,G7,Am,Am,F5
G7,Am,Am,F5,G7
Am,Am,F5,G7,Am
Am,F5,G7,Am,Am
F5,G7,Am,Am,F5
G7,Am,Am,F5,G7
Am,Am,F5,G7,Am
Am,F5,G7,Am,Am
F5,G7,Am,Am,F5
G7,Am,Am,F5,G7
Am,Am,F5,G7,Am
Am,F5,G7,Am,F5
F5,G7,Am,F5,G7
G7,Am,F5,G7,Am
Am,F5,G7,Am,F5
F5,G7,Am,F5,G7
G7,Am,F5,G7,Am
Am,F5,G7,Am,F5
F5,G7,Am,F5,G7
G7,Am,F5,G7,Am
E,C#m,B,E,C#m
C#m,B,E,C#m,B
B,E,C#m,B,B
E,C#m,B,B,E
C#m,B,B,E,B
B,B,E,B,E
B,E,B,E,C#m
E,B,E,C#m,B
B,E,C#m,B,B
E,C#m,B,B,E
C#m,B,B,E,B
B,B,E,B,C#m
B,E,B,C#m,F#
E,B,C#m,F#,B
B,C#m,F#,B,B
C#m,F#,B,B,E
F#,B,B,E,B
B,B,E,B,C#m
B,E,B,C#m,F#
E,B,C#m,F#,B
B,C#m,F#,B,B
C#m,F#,B,B,E
F#,B,B,E,B
B,B,E,B,C#m
B,E,B,C#m,F#
E,B,C#m,F#,B
B,C#m,F#,B,B
C#m,F#,B,B,E
F#,B,B,E,B
B,B,E,B,C#m
B,E,B,C#m,F#
E,B,C#m,F#,E
B,C#m,F#,E,B
C#m,F#,E,B,B
F#,E,B,B,E
E,B,B,E,B
B,B,E,B,C#m
B,E,B,C#m,E
E,B,C#m,E,C#m
B,C#m,E,C#m,B
C#m,E,C#m,B,B
E,C#m,B,B,E
C#m,B,B,E,B
B,B,E,B,E
B,E,B,E,B
E,B,E,B,C#m
B,E,B,C#m,E
E,B,C#m,E,C#
B,C#m,E,C#,B
C#m,E,C#,B,B
E,C#,B,B,E
C#,B,B,E,B
B,B,E,B,E
B,E,B,E,B
E,B,E,B,C#m
B,E,B,C#m,E
E,B,C#m,E,F#
B,C#m,E,F#,C#m
C#m,E,F#,C#m,B
E,F#,C#m,B,B
F#,C#m,B,B,E
C#m,B,B,E,B
B,B,E,B,C#m
B,E,B,C#m,F#
E,B,C#m,F#,C#m
B,C#m,F#,C#m,B
C#m,F#,C#m,B,B
F#,C#m,B,B,E
C#m,B,B,E,B
B,B,E,B,E
B,E,B,E,F#
E,B,E,F#,E
B,E,F#,E,F#
E,F#,E,F#,E
F#,E,F#,E,C#m
E,F#,E,C#m,F#
F#,E,C#m,F#,E
E,C#m,F#,E,F#
C#m,F#,E,F#,E
F#,E,F#,E,B
E,F#,E,B,E
F#,E,B,E,C#m
E,B,E,C#m,E
B,E,C#m,E,B
E,C#m,E,B,E
C#m,E,B,E,F#
E,B,E,F#,E
B,E,F#,E,C#m
E,F#,E,C#m,B
F#,E,C#m,B,E
E,C#m,B,E,C#m
C#m,B,E,C#m,B
B,E,C#m,B,C#m
E,C#m,B,C#m,F#
C#m,B,C#m,F#,B
B,C#m,F#,B,C#m
C#m,F#,B,C#m,F#
F#,B,C#m,F#,B
B,C#m,F#,B,E
C#m,F#,B,E,F#
F#,B,E,F#,E
B,E,F#,E,F#
E,F#,E,F#,E
F#,E,F#,E,C#m
E,F#,E,C#m,F#
F#,E,C#m,F#,E
E,C#m,F#,E,F#
C#m,F#,E,F#,E
F#,E,F#,E,C#m
E,F#,E,C#m,B
F#,E,C#m,B,E
E,C#m,B,E,C#m
C#m,B,E,C#m,B
B,E,C#m,B,E
E,C#m,B,E,C#m
C#m,B,E,C#m,E
B,E,C#m,E,B
E,C#m,E,B,B
C#m,E,B,B,E
E,B,B,E,B
B,B,E,B,C#m
B,E,B,C#m,F#
E,B,C#m,F#,E
B,C#m,F#,E,B
C#m,F#,E,B,B
F#,E,B,B,E
E,B,B,E,B
B,B,E,B,C#m
B,E,B,C#m,F#
E,B,C#m,F#,E
B,C#m,F#,E,B
C#m,F#,E,B,B
F#,E,B,B,B
E,B,B,B,E
B,B,B,E,B
B,B,E,B,C#m
B,E,B,C#m,F#
E,B,C#m,F#,E
B,C#m,F#,E,B
C#m,F#,E,B,B
F#,E,B,B,E
E,B,B,E,B
B,B,E,B,B
B,E,B,B,F#
E,B,B,F#,E
B,B,F#,E,D
B,F#,E,D,G
F#,E,D,G,A
E,D,G,A,B
D,G,A,B,B
G,A,B,B,F#
A,B,B,F#,E
B,B,F#,E,D
B,F#,E,D,G
F#,E,D,G,A
E,D,G,A,B
D,G,A,B,B
G,A,B,B,F#
A,B,B,F#,E
B,B,F#,E,D
B,F#,E,D,G
F#,E,D,G,A
E,D,G,A,B
D,G,A,B,B
G,A,B,B,F#
A,B,B,F#,E
B,B,F#,E,D
B,F#,E,D,G
F#,E,D,G,A
E,D,G,A,B
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,C5
G5,C5,Bb,C5,Db
C5,Bb,C5,Db,D5
Bb,C5,Db,D5,C5
C5,Db,D5,C5,Bb/C
Db,D5,C5,Bb/C,C5
D5,C5,Bb/C,C5,Bb/C
C5,Bb/C,C5,Bb/C,D5
Bb/C,C5,Bb/C,D5,C5
C5,Bb/C,D5,C5,Bb/C
Bb/C,D5,C5,Bb/C,C5
D5,C5,Bb/C,C5,Bb/C
C5,Bb/C,C5,Bb/C,C5
Bb/C,C5,Bb/C,C5,D5
C5,Bb/C,C5,D5,C5
Bb/C,C5,D5,C5,Bb/C
C5,D5,C5,Bb/C,C5
D5,C5,Bb/C,C5,Bb/C
C5,Bb/C,C5,Bb/C,D5
Bb/C,C5,Bb/C,D5,C5
C5,Bb/C,D5,C5,Bb
Bb/C,D5,C5,Bb,G5
D5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,C5
G5,C5,Bb,C5,Db
C5,Bb,C5,Db,D5
Bb,C5,Db,D5,C5
C5,Db,D5,C5,Bb/C
Db,D5,C5,Bb/C,C5
D5,C5,Bb/C,C5,Bb/C
C5,Bb/C,C5,Bb/C,D5
Bb/C,C5,Bb/C,D5,C5
C5,Bb/C,D5,C5,Bb/C
Bb/C,D5,C5,Bb/C,C5
D5,C5,Bb/C,C5,Bb/C
C5,Bb/C,C5,Bb/C,D5
Bb/C,C5,Bb/C,D5,C5
C5,Bb/C,D5,C5,Bb/C
Bb/C,D5,C5,Bb/C,C5
D5,C5,Bb/C,C5,Bb/C
C5,Bb/C,C5,Bb/C,D5
Bb/C,C5,Bb/C,D5,C5
C5,Bb/C,D5,C5,Bb
Bb/C,D5,C5,Bb,G5
D5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,A5
Bb,G5,C5,A5,Bb
G5,C5,A5,Bb,B5
C5,A5,Bb,B5,C5
A5,Bb,B5,C5,G5
Bb,B5,C5,G5,C5
B5,C5,G5,C5,G5
C5,G5,C5,G5,C5
G5,C5,G5,C5,G5
C5,G5,C5,G5,C5
G5,C5,G5,C5,D5
C5,G5,C5,D5,A5
G5,C5,D5,A5,D5
C5,D5,A5,D5,C5
D5,A5,D5,C5,A5
A5,D5,C5,A5,D5
D5,C5,A5,D5,C5
C5,A5,D5,C5,A5
A5,D5,C5,A5,D5
D5,C5,A5,D5,C5
C5,A5,D5,C5,A5
A5,D5,C5,A5,D5
D5,C5,A5,D5,C5
C5,A5,D5,C5,G
A5,D5,C5,G,A5
D5,C5,G,A5,D5
C5,G,A5,D5,C5
G,A5,D5,C5,A5
A5,D5,C5,A5,D5
D5,C5,A5,D5,C5
C5,A5,D5,C5,A5
A5,D5,C5,A5,D5
D5,C5,A5,D5,C5
C5,A5,D5,C5,A5
A5,D5,C5,A5,G5
D5,C5,A5,G5,C5
C5,A5,G5,C5,Bb
A5,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,C5
C5,Bb,G5,C5,Bb
Bb,G5,C5,Bb,G5
G5,C5,Bb,G5,G5
G,C,F9,C,G
C,F9,C,G,G
F9,C,G,G,C
C,G,G,C,F9
G,G,C,F9,C
G,C,F9,C,G
C,F9,C,G,G
F9,C,G,G,C
C,G,G,C,F9
G,G,C,F9,C
G,C,F9,C,G
C,F9,C,G,C
F9,C,G,C,F
C,G,C,F,C
G,C,F,C,G
C,F,C,G,C
F,C,G,C,F
C,G,C,F,C
G,C,F,C,G
C,F,C,G,C
F,C,G,C,F
C,G,C,F,C
G,C,F,C,G
C,F,C,G,C
F,C,G,C,F
C,G,C,F,C
G,C,F,C,G
C,F,C,G,G
F,C,G,G,G5
C,G,G,G5,G5
G,G,G5,G5,G
G,G5,G5,G,C
G5,G5,G,C,F9
G5,G,C,F9,C
G,C,F9,C,G
C,F9,C,G,G
F9,C,G,G,C
C,G,G,C,F9
G,G,C,F9,C
G,C,F9,C,G
C,F9,C,G,G
F9,C,G,G,G5
C,G,G,G5,G
G,G,G5,G,C
G,G5,G,C,F9
G5,G,C,F9,C
G,C,F9,C,G
C,F9,C,G,G
F9,C,G,G,C
C,G,G,C,F9
G,G,C,F9,C
G,C,F9,C,G
C,F9,C,G,G
F9,C,G,G,A
C,G,G,A,G
G,G,A,G,C
